family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=2,1,3,4,2^2,2:2,3,1,1,1,1,1,1,1,1,6,0,3->2,2:3,2,2
unit_prime_square,p=3,1,8,9,3^2,3:3,2,1,1,3,2,3,2,1,1,6,27,2->3,3:2,2,3
unit_prime_square,p=5,1,24,25,5^2,5:5,2;3,1,2,1,1,1,1,1,1,30,0,2->5;3->5,5:6,5,5
unit_prime_square,p=7,1,48,49,7^2,7:7,2;3,1,2,7,6,7,6,1,1,42,4,2->7;3->7,7:6,6,7
unit_prime_square,p=11,1,120,121,11^2,11:11,2;3;5,1,3,1,1,1,1,1,1,330,0,2->11;3->11;5->11,11:30,11,11
unit_prime_square,p=13,1,168,169,13^2,13:13,2;3;7,1,3,1,1,1,1,1,1,546,0,2->13;3->13;7->13,13:42,13,13
unit_prime_square,p=17,1,288,289,17^2,17:17,2;3,1,2,17,6,17,6,1,1,102,27,2->17;3->17,17:6,6,17
unit_prime_square,p=19,1,360,361,19^2,19:19,2;3;5,1,3,1,1,1,1,1,1,570,0,2->19;3->19;5->19,19:30,19,19
unit_prime_square,p=23,1,528,529,23^2,23:23,2;3;11,1,3,1,1,1,1,1,1,1518,0,2->23;3->23;11->23,23:66,23,23
unit_prime_square,p=29,1,840,841,29^2,29:29,2;3;5;7,1,4,1,1,1,1,1,1,6090,0,2->29;3->29;5->29;7->29,29:210,29,29
unit_prime_square,p=31,1,960,961,31^2,31:31,2;3;5,1,3,31,30,31,30,1,1,930,0,2->31;3->31;5->31,31:30,30,31
unit_prime_square,p=37,1,1368,1369,37^2,37:37,2;3;19,1,3,1,1,1,1,1,1,4218,0,2->37;3->37;19->37,37:114,37,37
unit_prime_square,p=41,1,1680,1681,41^2,41:41,2;3;5;7,1,4,1,1,1,1,1,1,8610,0,2->41;3->41;5->41;7->41,41:210,41,41
unit_prime_square,p=43,1,1848,1849,43^2,43:43,2;3;7;11,1,4,1,1,1,1,1,1,19866,0,2->43;3->43;7->43;11->43,43:462,43,43
unit_prime_square,p=47,1,2208,2209,47^2,47:47,2;3;23,1,3,1,1,1,1,1,1,6486,0,2->47;3->47;23->47,47:138,47,47
unit_prime_square,p=53,1,2808,2809,53^2,53:53,2;3;13,1,3,1,1,1,1,1,1,4134,0,2->53;3->53;13->53,53:78,53,53
unit_prime_square,p=59,1,3480,3481,59^2,59:59,2;3;5;29,1,4,1,1,1,1,1,1,51330,0,2->59;3->59;5->59;29->59,59:870,59,59
unit_prime_square,p=61,1,3720,3721,61^2,61:61,2;3;5;31,1,4,1,1,1,1,1,1,56730,0,2->61;3->61;5->61;31->61,61:930,61,61
unit_prime_square,p=67,1,4488,4489,67^2,67:67,2;3;11;17,1,4,1,1,1,1,1,1,75174,0,2->67;3->67;11->67;17->67,67:1122,67,67
unit_prime_square,p=71,1,5040,5041,71^2,71:71,2;3;5;7,1,4,1,1,1,1,1,1,14910,0,2->71;3->71;5->71;7->71,71:210,71,71
unit_prime_square,p=73,1,5328,5329,73^2,73:73,2;3;37,1,3,1,1,1,1,1,1,16206,0,2->73;3->73;37->73,73:222,73,73
