a,b,c,radical,support_vertices,covering_faces,zero_defect_cover,min_raw_defect,raw_face,raw_ratio,min_scalar_unmatched,scalar_face,scalar_ratio,min_monotone_unmatched,flow_face,flow_ratio,family,index
4,3,7,42,3,5,True,1,C:7^1,0.0,0.0,"A:2^2,B:3^1",0.0,0.0,"A:2^2,B:3^1",0.0,balanced,1
16,9,25,30,3,5,False,5,C:5^2,0.4731974454383393,0.0,C:5^2,0.0,1.5686159179138452,"A:2^4,B:3^2",0.4611952033043337,balanced,2
64,27,91,546,4,11,True,1,"C:7^1,C:13^1",0.0,0.0,"A:2^6,C:7^1",0.0,0.0,"A:2^6,C:7^1",0.0,balanced,3
256,81,337,2022,3,5,True,1,C:337^1,0.0,0.0,C:337^1,0.0,0.0,C:337^1,0.0,balanced,4
1024,243,1267,7602,4,11,True,1,"C:7^1,C:181^1",0.0,0.0,"A:2^10,C:7^1",0.0,0.0,"A:2^10,C:7^1",0.0,balanced,5
4096,729,4825,5790,4,11,False,5,"C:5^2,C:193^1",0.1857639424940927,0.0,"C:5^2,C:193^1",0.0,1.6094379124341003,"C:5^2,C:193^1",0.1857639424940927,balanced,6
16384,2187,18571,15918,4,11,False,7,"C:7^2,C:379^1",0.2011233853398659,0.15415067982725827,"C:7^2,C:379^1",0.015932547859083435,1.9459101490553132,"C:7^2,C:379^1",0.2011233853398659,balanced,7
65536,6561,72097,432582,4,11,True,1,"C:17^1,C:4241^1",0.0,0.0,"B:3^8,C:17^1",0.0,0.0,"B:3^8,C:17^1",0.0,balanced,8
262144,19683,281827,1690962,6,45,True,1,"C:7^1,C:13^1,C:19^1,C:163^1",0.0,0.0,"B:3^9,C:19^1",0.0,0.0,"B:3^9,C:19^1",0.0,balanced,9
1048576,59049,1107625,265830,4,11,False,25,"C:5^3,C:8861^1",0.25770360581529894,1.4271163556401456,"C:5^3,C:8861^1",0.11425511600203243,3.2188758248682006,"C:5^3,C:8861^1",0.25770360581529894,balanced,10
4194304,177147,4371451,26228706,5,22,True,1,"C:7^1,C:727^1,C:859^1",0.0,0.0,"C:7^1,C:727^1,C:859^1",0.0,0.0,"C:7^1,C:727^1,C:859^1",0.0,balanced,11
16777216,531441,17308657,103851942,4,11,True,1,"C:337^1,C:51361^1",0.0,0.0,"C:337^1,C:51361^1",0.0,0.0,"C:337^1,C:51361^1",0.0,balanced,12
9,16,25,30,3,5,False,5,C:5^2,0.4731974454383393,0.0,C:5^2,0.0,1.5686159179138452,"A:3^2,B:2^4",0.4611952033043337,pythagorean,1
25,144,169,390,4,11,False,13,C:13^2,0.42991724300738143,0.0,"A:5^2,B:3^2",0.0,0.02531780798428951,"A:5^2,B:2^4",0.00424357782189048,pythagorean,2
49,576,625,210,4,10,False,125,C:5^4,0.902976742017089,1.090644119018933,C:5^4,0.20396898935611862,2.70359585075283,"A:7^2,B:2^6",0.5056183806331765,pythagorean,3
81,1600,1681,1230,4,11,False,41,C:41^2,0.5219525514712127,0.3123746850421525,C:41^2,0.04390510294242537,1.1917027117341217,"A:3^4,B:5^2",0.16749702437761133,pythagorean,4
121,3600,3721,20130,5,20,False,61,C:61^2,0.41482217487249656,0.0,"A:11^2,B:2^4,B:3^2",0.0,0.0,"A:11^2,B:2^4,B:3^2",0.0,pythagorean,5
169,7056,7225,46410,6,44,False,85,"C:5^2,C:17^2",0.4134517941822074,0.0,"A:13^2,B:2^4,B:3^2",0.0,0.0,"A:13^2,B:2^4,B:3^2",0.0,pythagorean,6
225,12544,12769,23730,5,20,False,113,C:113^2,0.4692431387126403,0.0,C:113^2,0.0,0.8867824972541734,"A:3^2,A:5^2,B:2^8",0.088022522865561,pythagorean,7
289,20736,21025,14790,5,22,False,145,"C:5^2,C:29^2",0.5183176254708234,0.3517609291363035,"C:5^2,C:29^2",0.036635250941646935,1.1523164676399709,"A:17^2,B:3^4",0.12001163136518925,pythagorean,8
361,32400,32761,103170,5,20,False,181,C:181^2,0.45031505221741697,0.0,C:181^2,0.0,0.33620911334644044,"A:19^2,B:2^4,B:5^2",0.029123807039225742,pythagorean,9
441,48400,48841,510510,7,90,False,221,"C:13^2,C:17^2",0.41072013431241927,0.0,"A:3^2,A:7^2,B:2^4,B:5^2",0.0,0.0,"A:3^2,A:7^2,B:2^4,B:5^2",0.0,pythagorean,10
529,69696,70225,402270,6,43,False,265,"C:5^2,C:53^2",0.43237367195803234,0.0,"A:23^2,B:2^6,B:3^2",0.0,0.0,"A:23^2,B:2^6,B:3^2",0.0,pythagorean,11
625,97344,97969,122070,5,21,False,313,C:313^2,0.49061061401408057,0.0,"A:5^4,B:13^2",0.0,1.081509380768447,"A:5^4,B:2^6,B:3^2",0.09233923057825572,pythagorean,12
729,132496,133225,199290,6,43,False,365,"C:5^2,C:73^2",0.4834984190435166,0.0,"C:5^2,C:73^2",0.0,0.38062194978924446,"A:3^6,B:2^4,C:5^2",0.031192086903785717,pythagorean,13
841,176400,177241,2563890,6,42,False,421,C:421^2,0.40947469085838795,0.0,"A:29^2,B:2^4,B:5^2",0.0,0.0,"A:29^2,B:2^4,B:5^2",0.0,pythagorean,14
