'ABCF13FixedCurve20260908.sextic_eval' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.sextic_polynomial_bezout' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.affine_table_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.affine_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.elliptic_affine_counts' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.infinity_signs' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.complete_finite_model_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.nonzero_projection_equations' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.zero_projection_equation' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.infinity_projection_equation' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.numerator_substitution' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.nonzero_chart_exclusion' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.zero_chart_first_psi' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.infinity_chart_second_numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'ABCF13FixedCurve20260908.complete_finite_exclusion' depends on axioms: [propext, Classical.choice, Quot.sound]
