n,is_prime_index,p,residue_mod_p2,quotient_mod_p,method,status
2,1,2,2,1,small-prime recurrence scan,not_squarefull
3,1,5,10,2,small-prime recurrence scan,not_squarefull
4,0,3,6,2,small-prime recurrence scan,not_squarefull
5,1,29,348,12,small-prime recurrence scan,not_squarefull
6,0,2,2,1,small-prime recurrence scan,not_squarefull
7,1,239,40391,169,small-prime recurrence scan,not_squarefull
8,0,3,3,1,small-prime recurrence scan,not_squarefull
9,0,5,5,1,small-prime recurrence scan,not_squarefull
10,0,2,2,1,small-prime recurrence scan,not_squarefull
11,1,23,460,20,small-prime recurrence scan,not_squarefull
12,0,5,10,2,small-prime recurrence scan,not_squarefull
13,1,79,3871,49,small-prime recurrence scan,not_squarefull
14,0,2,2,1,small-prime recurrence scan,not_squarefull
15,0,7,28,4,small-prime recurrence scan,not_squarefull
16,0,3,6,2,small-prime recurrence scan,not_squarefull
17,1,103,412,4,small-prime recurrence scan,not_squarefull
18,0,2,2,1,small-prime recurrence scan,not_squarefull
19,1,37,999,27,small-prime recurrence scan,not_squarefull
20,0,3,3,1,small-prime recurrence scan,not_squarefull
21,0,5,20,4,small-prime recurrence scan,not_squarefull
22,0,2,2,1,small-prime recurrence scan,not_squarefull
23,1,47,1504,32,small-prime recurrence scan,not_squarefull
24,0,5,20,4,small-prime recurrence scan,not_squarefull
25,0,29,58,2,small-prime recurrence scan,not_squarefull
26,0,2,2,1,small-prime recurrence scan,not_squarefull
27,0,5,15,3,small-prime recurrence scan,not_squarefull
28,0,3,6,2,small-prime recurrence scan,not_squarefull
29,1,,,,,unresolved_by_search
30,0,2,2,1,small-prime recurrence scan,not_squarefull
31,1,61,3233,53,small-prime recurrence scan,not_squarefull
32,0,3,3,1,small-prime recurrence scan,not_squarefull
33,0,5,10,2,small-prime recurrence scan,not_squarefull
34,0,2,2,1,small-prime recurrence scan,not_squarefull
35,0,29,754,26,small-prime recurrence scan,not_squarefull
36,0,5,5,1,small-prime recurrence scan,not_squarefull
37,1,223,7805,35,small-prime recurrence scan,not_squarefull
38,0,2,2,1,small-prime recurrence scan,not_squarefull
39,0,5,5,1,small-prime recurrence scan,not_squarefull
40,0,3,6,2,small-prime recurrence scan,not_squarefull
41,1,2297,1614791,703,small-prime recurrence scan,not_squarefull
42,0,2,2,1,small-prime recurrence scan,not_squarefull
43,1,11437,25653191,2243,small-prime recurrence scan,not_squarefull
44,0,3,3,1,small-prime recurrence scan,not_squarefull
45,0,7,35,5,small-prime recurrence scan,not_squarefull
46,0,2,2,1,small-prime recurrence scan,not_squarefull
47,1,3761,3095303,823,small-prime recurrence scan,not_squarefull
48,0,5,15,3,small-prime recurrence scan,not_squarefull
49,0,239,54253,227,small-prime recurrence scan,not_squarefull
50,0,2,2,1,small-prime recurrence scan,not_squarefull
51,0,5,20,4,small-prime recurrence scan,not_squarefull
52,0,3,6,2,small-prime recurrence scan,not_squarefull
53,1,9940681,30511747329142,3069382,prime-index congruence search,not_squarefull
54,0,2,2,1,small-prime recurrence scan,not_squarefull
55,0,23,184,8,small-prime recurrence scan,not_squarefull
56,0,3,3,1,small-prime recurrence scan,not_squarefull
57,0,5,15,3,small-prime recurrence scan,not_squarefull
58,0,2,2,1,small-prime recurrence scan,not_squarefull
59,1,,,,,unresolved_by_search
60,0,7,14,2,small-prime recurrence scan,not_squarefull
61,1,853,516918,606,small-prime recurrence scan,not_squarefull
62,0,2,2,1,small-prime recurrence scan,not_squarefull
63,0,5,10,2,small-prime recurrence scan,not_squarefull
64,0,3,6,2,small-prime recurrence scan,not_squarefull
65,0,29,319,11,small-prime recurrence scan,not_squarefull
66,0,2,2,1,small-prime recurrence scan,not_squarefull
67,1,4289,9757475,2275,small-prime recurrence scan,not_squarefull
68,0,3,3,1,small-prime recurrence scan,not_squarefull
69,0,5,5,1,small-prime recurrence scan,not_squarefull
70,0,2,2,1,small-prime recurrence scan,not_squarefull
71,1,569,240118,422,small-prime recurrence scan,not_squarefull
72,0,5,10,2,small-prime recurrence scan,not_squarefull
73,1,2593399,6406556538468,2470332,prime-index congruence search,not_squarefull
74,0,2,2,1,small-prime recurrence scan,not_squarefull
75,0,7,42,6,small-prime recurrence scan,not_squarefull
76,0,3,6,2,small-prime recurrence scan,not_squarefull
77,0,23,46,2,small-prime recurrence scan,not_squarefull
78,0,2,2,1,small-prime recurrence scan,not_squarefull
79,1,157,9734,62,small-prime recurrence scan,not_squarefull
80,0,3,3,1,small-prime recurrence scan,not_squarefull
81,0,5,20,4,small-prime recurrence scan,not_squarefull
82,0,2,2,1,small-prime recurrence scan,not_squarefull
83,1,167,23881,143,small-prime recurrence scan,not_squarefull
84,0,5,20,4,small-prime recurrence scan,not_squarefull
85,0,29,29,1,small-prime recurrence scan,not_squarefull
86,0,2,2,1,small-prime recurrence scan,not_squarefull
87,0,5,15,3,small-prime recurrence scan,not_squarefull
88,0,3,6,2,small-prime recurrence scan,not_squarefull
89,1,2671,1343513,503,small-prime recurrence scan,not_squarefull
90,0,2,2,1,small-prime recurrence scan,not_squarefull
91,0,79,2133,27,small-prime recurrence scan,not_squarefull
92,0,3,3,1,small-prime recurrence scan,not_squarefull
93,0,5,10,2,small-prime recurrence scan,not_squarefull
94,0,2,2,1,small-prime recurrence scan,not_squarefull
95,0,29,725,25,small-prime recurrence scan,not_squarefull
96,0,5,5,1,small-prime recurrence scan,not_squarefull
97,1,4463,19472069,4363,small-prime recurrence scan,not_squarefull
98,0,2,2,1,small-prime recurrence scan,not_squarefull
99,0,5,5,1,small-prime recurrence scan,not_squarefull
100,0,3,6,2,small-prime recurrence scan,not_squarefull
101,1,607,164497,271,small-prime recurrence scan,not_squarefull
102,0,2,2,1,small-prime recurrence scan,not_squarefull
103,1,1031,374253,363,small-prime recurrence scan,not_squarefull
104,0,3,3,1,small-prime recurrence scan,not_squarefull
105,0,29,580,20,small-prime recurrence scan,not_squarefull
106,0,2,2,1,small-prime recurrence scan,not_squarefull
107,1,857,100269,117,small-prime recurrence scan,not_squarefull
108,0,5,15,3,small-prime recurrence scan,not_squarefull
109,1,2617,5197362,1986,small-prime recurrence scan,not_squarefull
110,0,2,2,1,small-prime recurrence scan,not_squarefull
111,0,5,20,4,small-prime recurrence scan,not_squarefull
112,0,3,6,2,small-prime recurrence scan,not_squarefull
113,1,677,431249,637,small-prime recurrence scan,not_squarefull
114,0,2,2,1,small-prime recurrence scan,not_squarefull
115,0,29,435,15,small-prime recurrence scan,not_squarefull
116,0,3,3,1,small-prime recurrence scan,not_squarefull
117,0,5,15,3,small-prime recurrence scan,not_squarefull
118,0,2,2,1,small-prime recurrence scan,not_squarefull
119,0,103,2884,28,small-prime recurrence scan,not_squarefull
120,0,7,28,4,small-prime recurrence scan,not_squarefull
121,0,23,299,13,small-prime recurrence scan,not_squarefull
122,0,2,2,1,small-prime recurrence scan,not_squarefull
123,0,5,10,2,small-prime recurrence scan,not_squarefull
124,0,3,6,2,small-prime recurrence scan,not_squarefull
125,0,29,290,10,small-prime recurrence scan,not_squarefull
126,0,2,2,1,small-prime recurrence scan,not_squarefull
