n,p,residue_mod_p2,quotient_mod_p,status
1009,,,,unresolved_by_search
1181,,,,unresolved_by_search
1447,,,,unresolved_by_search
1523,,,,unresolved_by_search
1621,,,,unresolved_by_search
1667,,,,unresolved_by_search
1699,,,,unresolved_by_search
1723,,,,unresolved_by_search
1801,,,,unresolved_by_search
1847,,,,unresolved_by_search
1873,,,,unresolved_by_search
1879,19351103221,216738097547525670700,11200296700,not_squarefull
1901,,,,unresolved_by_search
1913,,,,unresolved_by_search
1951,,,,unresolved_by_search
