n,p,residue_mod_p2,quotient_mod_p,status
1009,,,,unresolved_by_search
1181,,,,unresolved_by_search
1447,606142513,196069333887731405,323470685,not_squarefull
1523,3298747943,5918800334439132660,1794256620,not_squarefull
1621,2173125569,3894398543001120103,1792072487,not_squarefull
1667,,,,unresolved_by_search
1699,,,,unresolved_by_search
1723,,,,unresolved_by_search
1801,641617057,309253433262007019,481990667,not_squarefull
1847,,,,unresolved_by_search
1873,,,,unresolved_by_search
1879,,,,unresolved_by_search
1901,,,,unresolved_by_search
1913,5131308769,7782516710303147957,1516672853,not_squarefull
1951,,,,unresolved_by_search
