n,p,residue_mod_p2,quotient_mod_p,factor_record_status,factorization_product_verified,prime_basis,prime_record_status,u_decimal_digits
29,44560482149,822477596969312915748,18457556052,FF,True,local deterministic Miller-Rabin (<2^64),P,22
59,13558774610046711780701,76149174120842123443216541543331524963116498,5616228332641321147898,FF,True,FactorDB status P (external),P,45
157,1096384693,1183569026173039734,1079519838,FF,True,local deterministic Miller-Rabin (<2^64),P,120
277,12251705569,267273774880015870,21815230,FF,True,local deterministic Miller-Rabin (<2^64),P,212
293,4792710581,14939350684992014802,3117098442,FF,True,local deterministic Miller-Rabin (<2^64),P,224
311,181155438071,18762058531431028484688,103568839728,FF,True,local deterministic Miller-Rabin (<2^64),P,238
421,1081818484868497,194215460138759953475897485104,179526845635632,FF,True,local deterministic Miller-Rabin (<2^64),P,322
433,4779010088401,7591299388936965328590200,1588466910200,FF,True,local deterministic Miller-Rabin (<2^64),P,331
571,25796144657,314299877040516331621,12183986453,FF,True,local deterministic Miller-Rabin (<2^64),P,437
577,14321415652990386439,168470239059071609370682374783423336600,11763518575336799400,FF,True,local deterministic Miller-Rabin (<2^64),P,441
751,7852582169,51109799686553977133,6508661557,CF,True,local deterministic Miller-Rabin (<2^64),P,575
761,11741949953,22503841238700522304,1916533568,CF,True,local deterministic Miller-Rabin (<2^64),P,582
827,9477367073,11130956689479556239,1174477743,CF,True,local deterministic Miller-Rabin (<2^64),P,633
839,37377968503,1308507441739813395282,35007452094,CF,True,local deterministic Miller-Rabin (<2^64),P,642
937,27633725151978798737,733579035316833635571925669171918680174,26546512686303657102,FF,True,FactorDB status P (external),P,717
1063,790948537,159781333931953637,202012301,CF,True,local deterministic Miller-Rabin (<2^64),P,814
1291,20900122937,263815945765057956612,12622698276,CF,True,local deterministic Miller-Rabin (<2^64),P,988
1297,8379852149,26663392353765039098,3181845202,CF,True,local deterministic Miller-Rabin (<2^64),P,993
