t,p,L_mod_p2,quotient_mod_p,method,status
0,11,44,4,small-prime orbit scan,K_not_squarefull
1,7,21,3,small-prime orbit scan,K_not_squarefull
2,11,66,6,small-prime orbit scan,K_not_squarefull
3,11,77,7,small-prime orbit scan,K_not_squarefull
4,11,88,8,small-prime orbit scan,K_not_squarefull
5,7,35,5,small-prime orbit scan,K_not_squarefull
6,11,110,10,small-prime orbit scan,K_not_squarefull
7,41,492,12,small-prime orbit scan,K_not_squarefull
8,11,11,1,small-prime orbit scan,K_not_squarefull
9,11,22,2,small-prime orbit scan,K_not_squarefull
10,11,33,3,small-prime orbit scan,K_not_squarefull
11,11,44,4,small-prime orbit scan,K_not_squarefull
12,11,55,5,small-prime orbit scan,K_not_squarefull
13,7,14,2,small-prime orbit scan,K_not_squarefull
14,11,77,7,small-prime orbit scan,K_not_squarefull
15,11,88,8,small-prime orbit scan,K_not_squarefull
16,11,99,9,small-prime orbit scan,K_not_squarefull
17,7,28,4,small-prime orbit scan,K_not_squarefull
18,89,4183,47,small-prime orbit scan,K_not_squarefull
19,11,11,1,small-prime orbit scan,K_not_squarefull
20,11,22,2,small-prime orbit scan,K_not_squarefull
21,7,42,6,small-prime orbit scan,K_not_squarefull
22,11,44,4,small-prime orbit scan,K_not_squarefull
23,11,55,5,small-prime orbit scan,K_not_squarefull
24,11,66,6,small-prime orbit scan,K_not_squarefull
25,7,7,1,small-prime orbit scan,K_not_squarefull
26,11,88,8,small-prime orbit scan,K_not_squarefull
27,11,99,9,small-prime orbit scan,K_not_squarefull
28,11,110,10,small-prime orbit scan,K_not_squarefull
29,7,21,3,small-prime orbit scan,K_not_squarefull
30,11,11,1,small-prime orbit scan,K_not_squarefull
31,11,22,2,small-prime orbit scan,K_not_squarefull
32,11,33,3,small-prime orbit scan,K_not_squarefull
33,7,35,5,small-prime orbit scan,K_not_squarefull
34,11,55,5,small-prime orbit scan,K_not_squarefull
35,11,66,6,small-prime orbit scan,K_not_squarefull
36,11,77,7,small-prime orbit scan,K_not_squarefull
37,11,88,8,small-prime orbit scan,K_not_squarefull
38,11,99,9,small-prime orbit scan,K_not_squarefull
39,11,110,10,small-prime orbit scan,K_not_squarefull
40,89,4450,50,small-prime orbit scan,K_not_squarefull
41,7,14,2,small-prime orbit scan,K_not_squarefull
42,11,22,2,small-prime orbit scan,K_not_squarefull
43,11,33,3,small-prime orbit scan,K_not_squarefull
44,11,44,4,small-prime orbit scan,K_not_squarefull
45,7,28,4,small-prime orbit scan,K_not_squarefull
46,11,66,6,small-prime orbit scan,K_not_squarefull
47,11,77,7,small-prime orbit scan,K_not_squarefull
48,11,88,8,small-prime orbit scan,K_not_squarefull
49,7,42,6,small-prime orbit scan,K_not_squarefull
50,11,110,10,small-prime orbit scan,K_not_squarefull
51,13,65,5,small-prime orbit scan,K_not_squarefull
52,11,11,1,small-prime orbit scan,K_not_squarefull
53,7,7,1,small-prime orbit scan,K_not_squarefull
54,11,33,3,small-prime orbit scan,K_not_squarefull
55,11,44,4,small-prime orbit scan,K_not_squarefull
56,11,55,5,small-prime orbit scan,K_not_squarefull
57,7,21,3,small-prime orbit scan,K_not_squarefull
58,11,77,7,small-prime orbit scan,K_not_squarefull
59,11,88,8,small-prime orbit scan,K_not_squarefull
60,11,99,9,small-prime orbit scan,K_not_squarefull
61,7,35,5,small-prime orbit scan,K_not_squarefull
62,89,4717,53,small-prime orbit scan,K_not_squarefull
63,11,11,1,small-prime orbit scan,K_not_squarefull
64,11,22,2,small-prime orbit scan,K_not_squarefull
65,11,33,3,small-prime orbit scan,K_not_squarefull
66,11,44,4,small-prime orbit scan,K_not_squarefull
67,11,55,5,small-prime orbit scan,K_not_squarefull
68,11,66,6,small-prime orbit scan,K_not_squarefull
69,7,14,2,small-prime orbit scan,K_not_squarefull
70,11,88,8,small-prime orbit scan,K_not_squarefull
71,11,99,9,small-prime orbit scan,K_not_squarefull
72,11,110,10,small-prime orbit scan,K_not_squarefull
73,7,28,4,small-prime orbit scan,K_not_squarefull
74,11,11,1,small-prime orbit scan,K_not_squarefull
75,11,22,2,small-prime orbit scan,K_not_squarefull
76,11,33,3,small-prime orbit scan,K_not_squarefull
77,7,42,6,small-prime orbit scan,K_not_squarefull
78,11,55,5,small-prime orbit scan,K_not_squarefull
79,11,66,6,small-prime orbit scan,K_not_squarefull
80,11,77,7,small-prime orbit scan,K_not_squarefull
