Q,n,simple_primitive_p,F_n_over_p_mod_p,trial_division_bound
1,10,11,5,3
7,70,71,55,8
11,110,331,249,18
13,130,131,64,11
17,170,1158551,389841,1076
19,190,191,94,13
23,230,1151,442,33
31,310,311,90,17
41,410,1231,1009,35
43,430,431,256,20
47,470,941,3,30
53,530,1061,178,32
59,590,12391,3245,111
61,610,86011,61256,293
73,730,514651,470870,717
77,770,3851,2204,62
79,790,2371,1926,48
83,830,6170221,5833424,2483
91,910,17291,15598,131
97,970,971,72,31
101,1010,8081,3342,89
103,1030,461441,405519,679
107,1070,202231,101075,449
109,1090,1091,594,33
113,1130,3391,2295,58
119,1190,20786921,4532183,4559
127,1270,41911,13413,204
131,1310,2621,1976,51
137,1370,61651,30903,248
139,1390,296071,74768,544
143,1430,2861,1229,53
149,1490,7451,2391,86
151,1510,36241,6657,190
157,1570,1571,566,39
163,1630,21191,5925,145
167,1670,501001,199844,707
173,1730,3461,459,58
179,1790,3581,1316,59
181,1810,1811,74,42
187,1870,52361,11350,228
191,1910,3821,2047,61
193,1930,1931,1541,43
197,1970,5163371,4392715,2272
199,1990,509441,46820,713
209,2090,3762001,2287827,1939
211,2110,2111,449,45
217,2170,8681,5233,93
221,2210,1913861,1383265,1383
223,2230,6691,4912,81
227,2270,20431,14299,142
229,2290,22901,3437,151
233,2330,6991,2170,83
239,2390,14341,10683,119
241,2410,2411,2315,49
247,2470,585391,529479,765
251,2510,5021,1133,70
253,2530,2531,1408,50
257,2570,30841,6459,175
259,2590,38851,33557,197
263,2630,5261,4505,72
271,2710,2711,83,52
277,2770,27701,444,166
281,2810,14051,12792,118
283,2830,16981,2539,130
293,2930,5861,2788,76
299,2990,8971,5862,94
301,3010,3011,1733,54
307,3070,12281,1439,110
311,3110,6221,3188,78
313,3130,31976081,17439237,5654
317,3170,44381,14879,210
319,3190,3191,2400,56
323,3230,25841,22487,160
337,3370,3371,2365,58
347,3470,17351,11322,131
349,3490,3491,2370,59
359,3590,10771,6089,103
367,3670,3671,66,60
371,3710,11131,3048,105
373,3730,26111,436,161
377,3770,7541,2397,86
379,3790,22741,18518,150
383,3830,241291,43103,491
391,3910,3911,3746,62
397,3970,4394791,1833631,2096
401,4010,405011,183164,636
403,4030,24181,18587,155
407,4070,12211,4160,110
409,4090,4091,2794,63
413,4130,433651,26926,658
419,4190,33521,12188,183
421,4210,4211,4176,64
427,4270,4271,452,65
431,4310,370661,364645,608
433,4330,116911,100024,341
437,4370,8741,2033,93
439,4390,30650981,1667571,5536
443,4430,53161,35128,230
451,4510,248051,157743,498
461,4610,622351,135430,788
463,4630,111121,75997,333
467,4670,14011,3405,118
469,4690,14071,13893,118
481,4810,4935061,3414713,2221
487,4870,63311,9324,251
491,4910,3800341,290486,1949
493,4930,4931,242,70
497,4970,74551,19979,273
499,4990,19961,14958,141
503,5030,30181,21266,173
509,5090,91621,46216,302
511,5110,15411761,6839307,3925
517,5170,5171,3613,71
521,5210,41681,6972,204
523,5230,5231,3548,72
533,5330,218531,8653,467
547,5470,5471,1695,73
551,5510,27551,25367,165
559,5590,486331,151271,697
563,5630,180161,42577,424
569,5690,170701,112827,413
571,5710,5711,2637,75
577,5770,346201,257586,588
581,5810,17431,15134,132
583,5830,23321,7105,152
587,5870,698531,168928,835
593,5930,1120771,947332,1058
599,5990,11981,11598,109
601,6010,54091,7107,232
607,6070,4170091,2665891,2042
613,6130,6131,3769,78
617,6170,30851,16804,175
623,6230,31151,105,176
631,6310,6311,1610,79
643,6430,372941,343213,610
647,6470,284681,187253,533
649,6490,19471,10938,139
653,6530,137131,73471,370
661,6610,2835691,2318083,1683
667,6670,106721,14426,326
673,6730,3048691,1326152,1746
677,6770,2193481,1458329,1481
679,6790,6791,5169,82
683,6830,3742841,2496788,1934
689,6890,13781,2512,117
691,6910,6911,4642,83
697,6970,6971,1891,83
701,7010,147211,58881,383
703,7030,49211,10823,221
707,7070,268661,187094,518
709,7090,2105731,609092,1451
727,7270,1490351,1041304,1220
731,7310,650591,293766,806
733,7330,7331,1005,85
737,7370,14741,13190,121
739,7390,22171,21106,148
743,7430,104021,96916,322
749,7490,67411,23645,259
751,7510,22531,6744,150
757,7570,249811,173950,499
761,7610,289181,31322,537
763,7630,3731071,2361807,1931
767,7670,23011,19482,151
769,7690,7691,7054,87
779,7790,15581,8084,124
781,7810,101531,49181,318
787,7870,779131,464682,882
791,7910,39551,21366,198
797,7970,8121431,2874614,2849
799,7990,143821,116460,379
803,8030,40151,31829,200
809,8090,7151561,5498917,2674
811,8110,8111,6709,90
821,8210,213461,198000,462
823,8230,8231,6588,90
827,8270,41351,7160,203
829,8290,8291,890,91
851,8510,17021,3426,130
853,8530,127951,95962,357
857,8570,8938511,7839407,2989
859,8590,34361,2009,185
863,8630,43151,32692,207
871,8710,156781,40949,395
881,8810,387641,317078,622
883,8830,52981,8859,230
889,8890,115571,86461,339
893,8930,44651,31708,211
901,9010,27031,18821,164
911,9110,109321,24020,330
917,9170,18341,16218,135
923,9230,5953351,5946888,2439
929,9290,157931,125900,397
937,9370,28111,14141,167
943,9430,820411,434761,905
947,9470,4877051,1898487,2208
949,9490,9491,3116,97
953,9530,28591,19111,169
959,9590,28771,3482,169
967,9670,116041,71256,340
971,9710,19421,14177,139
973,9730,38921,4133,197
977,9770,19541,10531,139
979,9790,9791,3803,98
983,9830,19661,1897,140
989,9890,652741,152263,807
991,9910,2645971,1013428,1626
997,9970,159521,126871,399
