a,b,c,rad_a,rad_b,rad_c,radical_abc
1,8,9,1,2,3,6
5,27,32,5,3,2,30
1,48,49,1,6,7,42
1,63,64,1,21,2,42
1,80,81,1,10,3,30
32,49,81,2,7,3,42
4,121,125,2,11,5,110
3,125,128,3,5,2,30
1,224,225,1,14,15,210
1,242,243,1,22,3,66
2,243,245,2,3,35,210
7,243,250,7,3,10,210
13,243,256,13,3,2,78
81,175,256,3,35,2,210
1,288,289,1,6,17,102
100,243,343,10,3,7,210
32,343,375,2,7,15,210
5,507,512,5,39,2,390
169,343,512,13,7,2,182
1,512,513,1,2,57,114
27,512,539,3,2,77,462
1,624,625,1,78,5,390
49,576,625,7,6,5,210
81,544,625,3,34,5,510
1,675,676,1,15,26,390
1,728,729,1,182,3,546
25,704,729,5,22,3,330
104,625,729,26,5,3,390
200,529,729,10,23,3,690
1,960,961,1,30,31,930
343,625,968,7,5,22,770
1,1024,1025,1,2,205,410
5,1024,1029,5,2,21,210
1,1215,1216,1,15,38,570
8,1323,1331,2,21,11,462
81,1250,1331,3,10,11,330
243,1088,1331,3,34,11,1122
640,729,1369,10,3,37,1110
256,1331,1587,2,11,69,1518
81,1600,1681,3,10,41,1230
23,2025,2048,23,15,2,690
25,2023,2048,5,119,2,1190
243,1805,2048,3,95,2,570
9,2048,2057,3,2,187,1122
11,2176,2187,11,34,3,1122
139,2048,2187,139,2,3,834
512,1675,2187,2,335,3,2010
10,2187,2197,10,3,13,390
81,2116,2197,3,46,13,1794
1,2303,2304,1,329,6,1974
125,2187,2312,5,3,34,510
1,2400,2401,1,30,7,210
25,2376,2401,5,66,7,2310
192,2209,2401,6,47,7,1974
1024,1377,2401,2,51,7,714
99,2401,2500,33,7,10,2310
625,2048,2673,5,2,33,330
1,3024,3025,1,42,55,2310
875,2197,3072,35,13,6,2730
53,3072,3125,53,6,5,1590
128,2997,3125,2,111,5,1110
11,3125,3136,11,5,14,770
1024,2187,3211,2,3,247,1482
25,3456,3481,5,6,59,1770
459,3125,3584,51,5,14,3570
128,3645,3773,2,15,77,2310
648,3125,3773,6,5,77,2310
1,3887,3888,1,299,6,1794
1,3968,3969,1,62,21,1302
512,3481,3993,2,59,33,3894
7,3993,4000,7,33,10,2310
1,4095,4096,1,1365,2,2730
125,3971,4096,5,209,2,2090
375,3721,4096,15,61,2,1830
11,4096,4107,11,2,111,2442
35,4096,4131,35,2,51,3570
256,3969,4225,2,21,65,2730
2048,2187,4235,2,3,385,2310
1,4374,4375,1,6,35,210
49,4864,4913,7,38,17,4522
128,4913,5041,2,17,71,2414
17,5103,5120,17,21,10,3570
2187,3125,5312,3,5,166,2490
1331,4096,5427,11,2,201,4422
7,5625,5632,7,15,22,2310
2401,3375,5776,7,15,38,3990
1,5831,5832,1,119,6,714
19,6125,6144,19,35,6,3990
9,6241,6250,3,79,10,2370
1,6399,6400,1,237,10,2370
1,6560,6561,1,410,3,1230
161,6400,6561,161,10,3,4830
289,6272,6561,17,14,3,714
320,6241,6561,10,79,3,2370
961,5600,6561,31,70,3,6510
1024,5537,6561,2,791,3,4746
2209,4352,6561,47,34,3,4794
2401,4160,6561,7,130,3,2730
64,6561,6625,2,3,265,1590
64,6591,6655,2,39,55,4290
1,6655,6656,1,55,26,1430
784,6075,6859,14,15,19,3990
1,6859,6860,1,19,70,1330
16,6859,6875,2,19,55,2090
53,6859,6912,53,19,6,6042
1183,6561,7744,91,3,22,6006
3087,4913,8000,21,17,10,3570
19,8000,8019,19,10,33,6270
9,8183,8192,3,1169,2,7014
11,8181,8192,11,303,2,6666
1,8575,8576,1,35,134,4690
343,8405,8748,7,205,6,8610
16,9245,9261,2,215,21,9030
1125,8192,9317,15,2,77,2310
1183,8192,9375,91,2,15,2730
1,9375,9376,1,15,586,8790
1,9408,9409,1,42,97,4074
1,9800,9801,1,70,33,2310
25,9801,9826,5,33,34,5610
3125,6859,9984,5,19,78,7410
2197,7803,10000,13,51,10,6630
1,10647,10648,1,273,22,6006
1331,9604,10935,11,14,15,2310
41,10935,10976,41,15,14,8610
9,10976,10985,3,14,65,2730
4096,6889,10985,2,83,65,10790
2401,9375,11776,7,15,46,4830
32,11875,11907,2,95,21,3990
5120,6859,11979,10,19,33,6270
27,12005,12032,3,35,94,9870
125,11907,12032,5,21,94,9870
17,12150,12167,17,30,23,11730
162,12005,12167,6,35,23,4830
1,12167,12168,1,23,78,1794
121,12167,12288,11,23,6,1518
512,11881,12393,2,109,51,11118
2401,10368,12769,7,6,113,4746
1,14336,14337,1,14,177,2478
16,14625,14641,2,195,11,4290
49,14592,14641,7,114,11,8778
529,14112,14641,23,42,11,10626
1519,13122,14641,217,6,11,14322
1681,12960,14641,41,30,11,13530
4913,9728,14641,17,38,11,7106
98,14641,14739,14,11,51,7854
243,14641,14884,3,11,122,4026
4,15125,15129,2,55,123,13530
2809,12500,15309,53,10,21,11130
1,15624,15625,1,1302,5,6510
9,15616,15625,3,122,5,1830
16,15609,15625,2,1419,5,14190
19,15606,15625,19,102,5,9690
73,15552,15625,73,6,5,2190
137,15488,15625,137,22,5,15070
162,15463,15625,6,329,5,9870
729,14896,15625,3,266,5,3990
984,14641,15625,246,11,5,13530
1369,14256,15625,37,66,5,12210
1701,13924,15625,21,118,5,12390
1936,13689,15625,22,39,5,4290
4096,11529,15625,2,1281,5,12810
5041,10584,15625,71,42,5,14910
6877,8748,15625,299,6,5,8970
8,15625,15633,2,5,579,5790
1,16128,16129,1,42,127,5334
9,16375,16384,3,655,2,3930
49,16335,16384,7,165,2,2310
759,15625,16384,759,5,2,7590
1075,15309,16384,215,21,2,9030
2209,14175,16384,47,105,2,9870
3159,13225,16384,39,115,2,8970
9,16384,16393,3,2,1261,7566
2000,14641,16641,10,11,129,14190
8192,8575,16767,2,35,69,4830
40,16767,16807,10,69,7,4830
423,16384,16807,141,2,7,1974
2166,14641,16807,114,11,7,8778
8019,8788,16807,33,26,7,6006
3,16807,16810,3,7,410,8610
68,16807,16875,34,7,15,3570
491,16384,16875,491,2,15,14730
121,16807,16928,11,7,46,3542
1536,15625,17161,6,5,131,3930
3125,14283,17408,5,69,34,11730
5329,12167,17496,73,23,6,10074
729,16807,17536,3,7,274,5754
1,17576,17577,1,26,651,16926
49,18176,18225,7,142,15,14910
3584,14641,18225,14,11,15,2310
4913,13312,18225,17,26,15,6630
1875,16384,18259,15,2,589,17670
1625,16807,18432,65,7,6,2730
2187,16384,18571,3,2,2653,15918
2401,16384,18785,7,2,1105,15470
81,19375,19456,3,155,38,17670
20,19663,19683,10,371,3,11130
31,19652,19683,31,34,3,3162
83,19600,19683,83,70,3,17430
475,19208,19683,95,14,3,3990
29,19683,19712,29,3,154,13398
64,19683,19747,2,3,2821,16926
121,19652,19773,11,34,39,14586
125,19683,19808,5,3,1238,18570
317,19683,20000,317,3,10,9510
243,20237,20480,3,413,10,12390
128,20449,20577,2,143,57,16302
289,20736,21025,17,6,145,14790
16,21125,21141,2,65,87,11310
4489,16807,21296,67,7,22,10318
23,21609,21632,23,21,26,12558
243,21632,21875,3,26,35,2730
1,21951,21952,1,813,14,11382
32,24025,24057,2,155,33,10230
7,24057,24064,7,33,94,21714
1,24299,24300,1,517,30,15510
11,24565,24576,11,85,6,5610
2401,22599,25000,7,93,10,6510
1,25920,25921,1,30,161,4830
6728,19683,26411,58,3,77,13398
8192,19683,27875,2,3,1115,6690
256,27869,28125,2,899,15,26970
1,28125,28126,1,15,574,8610
49,28512,28561,7,66,13,6006
1125,27436,28561,15,38,13,7410
6561,22000,28561,3,110,13,4290
5,28561,28566,5,13,138,8970
16,28561,28577,2,13,697,18122
32,28561,28593,2,13,1059,27534
111,28561,28672,111,13,14,20202
1,29375,29376,1,235,102,23970
13778,15625,29403,166,5,33,27390
10108,19683,29791,266,3,31,24738
1,29791,29792,1,31,266,8246
13122,16807,29929,6,7,173,7266
13568,16807,30375,106,7,15,11130
6561,24064,30625,3,94,35,9870
351,30625,30976,39,35,22,30030
14297,16807,31104,493,7,6,20706
1,31212,31213,1,102,91,9282
2209,29791,32000,47,31,10,14570
7,32761,32768,7,181,2,2534
125,32643,32768,5,1209,2,12090
8379,24389,32768,399,29,2,23142
1,32768,32769,1,2,10923,21846
37,32768,32805,37,2,15,1110
15625,17303,32928,5,143,42,30030
507,32768,33275,39,2,55,4290
125,33489,33614,5,183,14,12810
1,33614,33615,1,14,1245,17430
32,34263,34295,2,141,95,26790
16,34375,34391,2,55,119,13090
128,34263,34391,2,141,119,33558
1875,32768,34643,15,2,707,21210
23,34969,34992,23,187,6,25806
3721,32000,35721,61,10,21,12810
15625,20096,35721,5,314,21,32970
25,35912,35937,5,134,33,22110
6561,29791,36352,3,31,142,13206
8303,28561,36864,437,13,6,34086
11,36864,36875,11,6,295,19470
1024,39601,40625,2,199,65,25870
7857,32768,40625,291,2,65,37830
847,40625,41472,77,65,6,30030
31,41472,41503,31,6,77,14322
14641,26912,41553,11,58,57,36366
243,42632,42875,3,146,35,15330
19,43904,43923,19,14,33,8778
2048,41875,43923,2,335,33,22110
11449,32768,44217,107,2,51,10914
20736,24389,45125,6,29,95,16530
16384,29241,45625,2,57,365,41610
11552,34375,45927,38,55,21,43890
6859,39366,46225,19,6,215,24510
4913,41743,46656,17,247,6,25194
1,49247,49248,1,407,114,46398
729,49000,49729,3,70,223,46830
1,50175,50176,1,3345,14,46830
125,50176,50301,5,14,69,4830
2048,48373,50421,2,793,21,33306
1,50624,50625,1,1582,15,23730
896,49729,50625,14,223,15,46830
28,50625,50653,14,15,37,7770
232,50421,50653,58,21,37,45066
1875,48778,50653,15,58,37,32190
22528,28125,50653,22,15,37,12210
19683,31250,50933,3,10,1643,49290
1331,50653,51984,11,37,114,46398
10985,41503,52488,65,77,6,30030
2197,50625,52822,13,15,154,30030
637,52488,53125,91,6,85,46410
2704,50421,53125,26,21,85,46410
7168,46875,54043,14,15,187,39270
16384,38291,54675,2,649,15,19470
6912,48013,54925,6,133,65,51870
1,55296,55297,1,6,5027,30162
3125,52441,55566,5,229,42,48090
4913,50653,55566,17,37,42,26418
19683,36125,55808,3,85,218,55590
1,57121,57122,1,239,26,6214
1,58563,58564,1,723,22,15906
1,59048,59049,1,1342,3,4026
4,59045,59049,2,8435,3,50610
49,59000,59049,7,590,3,12390
169,58880,59049,13,230,3,8970
485,58564,59049,485,22,3,32010
968,58081,59049,22,241,3,15906
10000,49049,59049,10,1001,3,30030
13924,45125,59049,118,95,3,33630
15488,43561,59049,22,889,3,58674
15625,43424,59049,5,2714,3,40710
1,59049,59050,1,3,11810,35430
119,59049,59168,119,3,86,30702
128,59049,59177,2,3,1003,6018
4096,55223,59319,2,161,39,12558
56,59319,59375,14,39,95,51870
343,59049,59392,7,3,58,1218
1,59535,59536,1,105,122,12810
4,60021,60025,2,741,35,51870
121,59904,60025,11,78,35,30030
976,59049,60025,122,3,35,12810
1944,58081,60025,6,241,35,50610
19683,40817,60500,3,119,110,39270
1960,59049,61009,70,3,247,51870
14641,46875,61516,11,15,182,30030
49,61952,62001,7,22,249,38346
2048,60025,62073,2,35,627,43890
125,62083,62208,5,1267,6,38010
49,62451,62500,7,771,10,53970
1,63000,63001,1,210,251,52710
9,64000,64009,3,10,253,7590
15625,48384,64009,5,42,253,53130
2875,61952,64827,115,22,21,53130
1,65024,65025,1,254,255,64770
3,65533,65536,3,923,2,5538
7,65529,65536,7,2427,2,33978
23,65513,65536,23,1337,2,61502
169,65367,65536,13,807,2,20982
317,65219,65536,317,77,2,48818
709,64827,65536,709,21,2,29778
6487,59049,65536,6487,3,2,38922
7569,57967,65536,87,91,2,15834
10611,54925,65536,393,65,2,51090
89,65536,65625,89,2,105,18690
513,65536,66049,57,2,257,29298
7000,59049,66049,70,3,257,53970
2048,64827,66875,2,21,535,22470
625,66603,67228,5,447,14,31290
1,68607,68608,1,231,134,30954
800,68121,68921,10,87,41,35670
49,69120,69169,7,30,263,55230
3,69629,69632,3,203,34,20706
6859,63125,69984,19,505,6,57570
10609,59375,69984,103,95,6,58710
2,70225,70227,2,265,51,27030
