family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,compatible_blocks,saturated_blocks,reachable_disjoint_unions,chosen_blocks,exclusive_assignment,residual_numerator,residual_denominator,pbt_residual_numerator,pbt_residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,fcrt_chosen_blocks,fcrt_item_assignment,fcrt_residual_numerator,fcrt_residual_denominator,fcrt_fragmentation_numerator,fcrt_fragmentation_denominator,fcrt_improvement_numerator,fcrt_improvement_denominator,fcrt_block_family_count,radical_abc,ratio_grid_floor,fcrt_ratio_grid_floor
balanced_4r_3r,r=1,3,4,7,7^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,42,0,0
balanced_4r_3r,r=10,59049,1048576,1107625,5^3;8861^1,5:25,2;3,1,0,1,,2->5;3->5,25,6,25,6,25,6,1,1,,2->5;3->5,25,6,1,1,1,1,1,265830,1371,1371
balanced_4r_3r,r=11,177147,4194304,4371451,7^1;727^1;859^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,26228706,0,0
balanced_4r_3r,r=12,531441,16777216,17308657,337^1;51361^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,103851942,0,0
balanced_4r_3r,r=13,1594323,67108864,68703187,7^1;313^1;31357^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,412219122,0,0
balanced_4r_3r,r=14,4782969,268435456,273218425,5^2;29^1;376853^1,5:5,2;3,1,1,2,,2->5;3->5,1,1,1,1,1,1,1,1,,2->5;3->5,1,1,1,1,1,1,2,327862110,0,0
balanced_4r_3r,r=15,14348907,1073741824,1088090731,7^1;13^1;31^1;181^1;2131^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,6528544386,0,0
balanced_4r_3r,r=16,43046721,4294967296,4338014017,4338014017^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,26028084102,0,0
balanced_4r_3r,r=17,129140163,17179869184,17309009347,7^1;919^1;2690659^1,,2;3,0,0,1,,2->unused;3->unused,1,1,1,1,1,1,1,1,,2->unused;3->unused,1,1,1,1,1,1,1,103854056082,0,0
balanced_4r_3r,r=18,387420489,68719476736,69106897225,5^2;73^1;193^1;196201^1,5:5,2;3,1,1,2,,2->5;3->5,1,1,1,1,1,1,1,1,,2->5;3->5,1,1,1,1,1,1,2,82928276670,0,0
