# Source: https://arxiv.org/list/math.NT/new
# Listing date: Friday, 4 September 2026
# Accessed: 2026-09-04 America/Tijuana
# Audit scope: titles and abstracts of all displayed entries
# Columns: section	arXiv_id	title
New submissions (showing 22 of 22 entries)	arXiv:2609.03050	An upper bound for an exceptional automorphism group
New submissions (showing 22 of 22 entries)	arXiv:2609.03091	Perfect numbers, Wieferich primes and the solutions of $\binom{2n}{n}\equiv 2^n \bmod n$
New submissions (showing 22 of 22 entries)	arXiv:2609.03112	Poissonian pair correlations for the three-particle Sutherland model
New submissions (showing 22 of 22 entries)	arXiv:2609.03127	Skolem-Mahler-Lech in rings of positive characteristic: a shorter proof and a multi-dimensional generalization
New submissions (showing 22 of 22 entries)	arXiv:2609.03171	Factorization patterns and fields of definition of $\ell$-torsion points on the Jacobians of genus 3 hyperelliptic curves
New submissions (showing 22 of 22 entries)	arXiv:2609.03191	On lifting representations and actions on curves of the metacyclic groups $C_{p^s}\rtimes C_m$
New submissions (showing 22 of 22 entries)	arXiv:2609.03238	Representation Defects and Cassels Pairings for Congruent Number Curves
New submissions (showing 22 of 22 entries)	arXiv:2609.03353	Resolving a conjecture on permutation polynomials over $\mathbb{F}_{2^n}$
New submissions (showing 22 of 22 entries)	arXiv:2609.03444	Odd denominators in the Lonely Runner spectrum for six speeds
New submissions (showing 22 of 22 entries)	arXiv:2609.03448	Prime-power Diophantine tuples
New submissions (showing 22 of 22 entries)	arXiv:2609.03455	The Klein-Vélu septic, 2-Division, and modular function fields of level 14
New submissions (showing 22 of 22 entries)	arXiv:2609.03653	The derived set of multiple star polylogarithms
New submissions (showing 22 of 22 entries)	arXiv:2609.03777	The $\mathfrak{sl}_2$-algebra structure of multiple Eisenstein series
New submissions (showing 22 of 22 entries)	arXiv:2609.03839	Supersingular Elliptic Curves Without Inseparable Small Degree Endomorphisms
New submissions (showing 22 of 22 entries)	arXiv:2609.03926	Overcolored Partition $k$-tuples Restricted by Parity of the Parts
New submissions (showing 22 of 22 entries)	arXiv:2609.03939	Arithmetic probability measures
New submissions (showing 22 of 22 entries)	arXiv:2609.03946	The groups $\operatorname{SL}_2(\mathbb{F}_{13})$ and $\operatorname{SL}_2(\mathbb{F}_{19})$ are Galois over $\mathbb{Q}$
New submissions (showing 22 of 22 entries)	arXiv:2609.03954	Galois representations ramified at one prime via relative deformation theory
New submissions (showing 22 of 22 entries)	arXiv:2609.03961	On the exponential sum over squarefree integers
New submissions (showing 22 of 22 entries)	arXiv:2609.04092	Short character sums of inhomogeneous polynomials
New submissions (showing 22 of 22 entries)	arXiv:2609.04155	The subconvexity problem for symmetric square $L$-functions in level aspect
New submissions (showing 22 of 22 entries)	arXiv:2609.04176	Catalan's constant is irrational
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03188	Some generalizations of Oort's conjecture
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03248	Connections between colored restricted $b$-ary and ordinary partitions
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03647	Extension Problems for the Vladimirov--Taibleson Operator and the Hierarchical Laplacian
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03801	From Ordered Bernoulli Levels to Critical-Line Geometry: Integer Quantization, Bernoulli Residual Phase, and Prime-Power Spectra
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03855	A Fejér--Riesz inequality for Dirichlet series
Cross submissions (showing 7 of 7 entries)	arXiv:2609.03896	The Prime Clockwork: A Dynamic Representation of Modular and Multiplicative Arithmetic
Cross submissions (showing 7 of 7 entries)	arXiv:2609.04072	Oort's conjecture for split unitary Shimura varieties
Replacement submissions (showing 15 of 15 entries)	arXiv:2006.16195	Cranks for Ramanujan-type congruences of $k$-colored partitions
Replacement submissions (showing 15 of 15 entries)	arXiv:2503.15408	Hasse norm principle for Heisenberg extensions of degree $p^3$
Replacement submissions (showing 15 of 15 entries)	arXiv:2508.05347	Squares, three fleas, sporadic sets, and squares
Replacement submissions (showing 15 of 15 entries)	arXiv:2512.22451	Zeros of Polynomials in Derivatives of Automorphic $L$-functions
Replacement submissions (showing 15 of 15 entries)	arXiv:2601.10636	On subradically sifted sums related to Alladi's higher order duality between prime factors
Replacement submissions (showing 15 of 15 entries)	arXiv:2604.23784	Unbounded logarithmic limsup in Erdős Problem 684 via shifted carry scheduling
Replacement submissions (showing 15 of 15 entries)	arXiv:2608.07880	Sharp vertex connectivity of the Markoff graphs modulo $p$
Replacement submissions (showing 15 of 15 entries)	arXiv:2608.13299	Convolution-type Bombieri-Vinogradov theorem with well-factorable weights, and its applications
Replacement submissions (showing 15 of 15 entries)	arXiv:2608.24401	Winning property of counterexamples to Uniform Littlewood's Conjecture
Replacement submissions (showing 15 of 15 entries)	arXiv:2608.27058	Modular periodicity of the Euler up/down numbers at odd prime powers
Replacement submissions (showing 15 of 15 entries)	arXiv:2608.28332	The Algebraicity Problem for Hard-Core Entropy Constants on the Discrete Hypertori
Replacement submissions (showing 15 of 15 entries)	arXiv:2311.03013	Generalizations of Koga's version of the Wiener-Ikehara theorem
Replacement submissions (showing 15 of 15 entries)	arXiv:2509.10880	On the Local Langlands Functorial Transfer from $\text{SO}(5)$ to $\text{GL}(4)$
Replacement submissions (showing 15 of 15 entries)	arXiv:2601.17030	The Hydra Map and Numen Formalisms for Collatz-Type Problems
Replacement submissions (showing 15 of 15 entries)	arXiv:2604.05092	Frobenius nonclassicality of generalized Fermat curves with respect to conics
